Orientation - Roll: 1.49°, Pitch: -1.12°, Yaw: 241.16°
Orientation - Roll: 1.30°, Pitch: -0.98°, Yaw: 241.09°
Orientation - Roll: 1.30°, Pitch: -0.98°, Yaw: 241.09°
Orientation - Roll: 1.14°, Pitch: -0.86°, Yaw: 241.00°
Orientation - Roll: 1.14°, Pitch: -0.86°, Yaw: 241.00°
Orientation - Roll: 1.01°, Pitch: -0.76°, Yaw: 240.93°
Orientation - Roll: 1.01°, Pitch: -0.76°, Yaw: 240.93°
Orientation - Roll: 0.90°, Pitch: -0.66°, Yaw: 240.86°
Orientation - Roll: 0.80°, Pitch: -0.56°, Yaw: 240.79°
Orientation - Roll: 0.80°, Pitch: -0.56°, Yaw: 240.79°
Orientation - Roll: 0.70°, Pitch: -0.50°, Yaw: 241.67°
Orientation - Roll: 0.70°, Pitch: -0.50°, Yaw: 241.67°
Orientation - Roll: 0.62°, Pitch: -0.45°, Yaw: 241.62°
Orientation - Roll: 0.62°, Pitch: -0.45°, Yaw: 241.62°
Orientation - Roll: 0.53°, Pitch: -0.40°, Yaw: 241.58°
Orientation - Roll: 0.53°, Pitch: -0.40°, Yaw: 241.58°
Orientation - Roll: 0.44°, Pitch: -0.35°, Yaw: 241.54°
Orientation - Roll: 0.38°, Pitch: -0.30°, Yaw: 241.50°
Orientation - Roll: 0.38°, Pitch: -0.30°, Yaw: 241.50°
Orientation - Roll: 0.32°, Pitch: -0.26°, Yaw: 239.97°
Orientation - Roll: 0.32°, Pitch: -0.26°, Yaw: 239.97°
Orientation - Roll: 0.28°, Pitch: -0.24°, Yaw: 239.95°
Orientation - Roll: 0.28°, Pitch: -0.24°, Yaw: 239.95°
Orientation - Roll: 0.24°, Pitch: -0.20°, Yaw: 239.93°
Orientation - Roll: 0.21°, Pitch: -0.18°, Yaw: 239.91°
Orientation - Roll: 0.21°, Pitch: -0.18°, Yaw: 239.91°
Orientation - Roll: 0.19°, Pitch: -0.16°, Yaw: 239.90°
Orientation - Roll: 0.19°, Pitch: -0.16°, Yaw: 239.90°
Orientation - Roll: 0.18°, Pitch: -0.14°, Yaw: 240.83°
Orientation - Roll: 0.18°, Pitch: -0.14°, Yaw: 240.83°
Orientation - Roll: 0.17°, Pitch: -0.13°, Yaw: 240.82°
Orientation - Roll: 0.17°, Pitch: -0.13°, Yaw: 240.82°
Orientation - Roll: 0.15°, Pitch: -0.12°, Yaw: 240.81°
Orientation - Roll: 0.13°, Pitch: -0.10°, Yaw: 240.80°
Orientation - Roll: 0.13°, Pitch: -0.10°, Yaw: 240.80°
Orientation - Roll: 0.11°, Pitch: -0.10°, Yaw: 240.79°
Orientation - Roll: 0.11°, Pitch: -0.10°, Yaw: 240.79°
